"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2012,,,,,,,,"PUBLICATION DATE:  FEBRUARY 6, 2012",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120121 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,67,9,58,0,49,2,5,5,0,1,2,3,0,5,1,65,2,10KL0002BS
120121 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",232,45,186,1,175,14,13,21,0,0,6,2,1,14,3,224,8,10KL0002BS
120121 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,46,20,26,0,33,1,0,1,0,0,1,10,0,0,0,30,16,10KS0002MS
120121 ,KL ,538 ,MS ,4026 ,Bioinformatics ,5099 ,Animal Science ,5,5,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5,10KS5099MS
120121 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,46,29,17,0,18,0,1,1,0,0,0,26,0,1,0,11,35,10KS0002PHD
120121 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,118,36,82,0,56,22,5,6,0,0,2,27,0,5,2,88,30,10KL0038BS
120121 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0039 ,Food Industry and Business ,26,10,16,0,18,2,0,3,0,0,0,3,0,0,0,21,5,10KL0039BS
120121 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,115,22,93,0,70,19,6,9,0,0,1,10,0,6,0,102,13,10KL0040BS
120121 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,80,1,79,0,59,8,1,4,0,0,1,6,1,1,1,69,11,10KL0041BS
120121 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,69,22,47,0,44,6,2,7,0,0,3,7,0,3,1,61,8,10KL0042BS
120121 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,4,1,3,0,0,1,0,0,0,0,0,3,0,0,0,1,3,10KS0037MS
120121 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1PKS0037MS
120121 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,24,8,16,0,11,2,1,0,0,0,0,10,0,1,0,8,16,10KS0037MS
120121 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,6,0,6,0,3,0,1,0,0,0,0,2,0,1,0,3,3,10KS0037MS
120121 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,5166 ,Professional Science Masters ,6,1,5,0,1,0,0,0,0,0,0,5,0,0,0,1,5,1PKS0037MS
120121 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,20,6,14,0,6,0,0,0,0,0,0,14,0,0,0,3,17,10KS0037PHD
120121 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,11,3,8,0,3,1,0,0,0,0,0,7,0,0,0,3,8,10KS0037PHD
120121 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,5,1,4,0,0,2,0,0,0,0,0,3,0,0,0,1,4,10KS0037PHD
120121 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,190,174,16,0,132,14,11,19,0,0,4,9,1,12,1,177,13,10KL0025BS
120121 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,4,3,1,0,3,0,1,0,0,0,0,0,0,1,0,4,0,10KL0029BSAG
120121 ,KL ,741 ,BSAG ,5163 ,Agricultural & Biological Engr ,  ,  ,36,25,11,0,19,6,4,2,0,0,1,4,0,4,0,29,7,10KL5163BSAG
120121 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,  ,  ,5,5,0,0,3,0,0,0,0,0,0,2,0,0,0,2,3,10KS0025MS
120121 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,5166 ,Professional Science Masters ,4,3,1,0,1,0,1,0,0,0,0,2,0,1,0,2,2,1PKS0025MS
120121 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0046 ,Agricultural Leadership ,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL0046BS
120121 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0047 ,Agricultural Education ,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,10KL0047BS
