"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2013,,,,,,,,"PUBLICATION DATE:  AUGUST 26, 2013",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120135 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,49,33,16,0,20,1,0,2,0,0,0,25,1,0,0,13,36,10KS0002PHD
120135 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,17,7,10,0,6,4,1,2,0,0,1,3,0,2,0,13,4,10KL0038BS
120135 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0039 ,Food Industry and Business ,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,2,1,10KL0039BS
120135 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,29,3,26,0,15,7,1,3,0,0,0,3,0,1,0,24,5,10KL0040BS
120135 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,19,1,18,0,16,1,0,1,0,0,1,0,0,0,0,19,0,10KL0041BS
120135 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,21,7,14,0,16,3,0,1,0,0,1,0,0,0,1,20,1,10KL0042BS
120135 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KS0037MS
120135 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,14,3,11,0,9,1,0,0,0,0,0,4,0,0,0,3,11,10KS0037MS
120135 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,5166 ,Professional Science Masters ,8,3,5,0,1,3,0,0,0,0,0,4,0,0,0,3,5,1PKS0037MS
120135 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,8,3,5,0,3,2,0,0,0,0,0,3,0,0,0,3,5,10KS0037PHD
120135 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,13,6,7,0,5,1,0,0,0,0,0,7,0,0,0,3,10,10KS0037PHD
120135 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,7,1,6,0,0,2,0,0,0,0,0,5,0,0,0,1,6,10KS0037PHD
120135 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,47,42,5,0,26,3,5,5,0,0,2,5,1,5,0,38,9,10KL0025BS
120135 ,KL ,741 ,BSAG ,5163 ,Agricultural & Biological Engr ,  ,  ,8,4,4,0,2,2,2,1,0,0,0,1,0,2,0,5,3,10KL5163BSAG
120135 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,  ,  ,3,3,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,10KS0025MS
120135 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,5166 ,Professional Science Masters ,3,3,0,0,1,1,1,0,0,0,0,0,0,1,0,3,0,1PKS0025MS
