"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2010,,,,,,,,"PUBLICATION DATE:  JULY 28, 2010",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120105 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,10,1,9,0,6,0,0,0,0,0,0,4,0,0,0,3,7,10KS0037MS
120105 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,7,2,5,0,4,0,0,0,0,0,0,3,0,0,0,1,6,10KS0037MS
120105 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,4,2,2,0,2,0,1,0,0,0,0,1,0,1,0,2,2,10KS0037MS
120105 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,5166 ,Professional Science Masters ,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1PKS0037MS
120105 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,9,4,5,0,3,1,0,0,0,0,0,5,0,0,0,1,8,10KS0037PHD
120105 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,10KS0037PHD
120105 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,23,20,3,0,10,1,9,3,0,0,0,0,0,9,0,22,1,10KL0025BS
120105 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,6,4,2,0,4,0,2,0,0,0,0,0,0,2,0,6,0,10KL0029BSAG
120105 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0046 ,Agricultural Leadership ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL0046BS
120105 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0047 ,Agricultural Education ,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL0047BS
120105 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",4,0,4,0,2,0,2,0,0,0,0,0,0,2,0,4,0,10KL5033BS
120105 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,11,2,9,0,8,1,2,0,0,0,0,0,0,2,0,11,0,10KL0049BS
120105 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,10,1,9,0,7,0,1,0,0,0,2,0,0,1,0,10,0,10KL0050BS
120105 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,11,2,9,0,7,1,1,0,0,0,0,2,0,1,0,5,6,10KS0183PHD
120105 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5126 ,Human Development & Family St ,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,10KS0183PHD
120105 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10KL0035BS
120105 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,10KL0036BS
120105 ,KL ,802 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,3,1,2,0,2,0,1,0,0,0,0,0,0,1,0,3,0,10KL0063BS
