"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,
SUMMER 2009,,,,,,,,"REVISED:  September 23, 2009",,,,,,,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,,,,
Revised to include academic program codes (on far right),,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,
120095 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,11,2,9,0,3,1,0,0,0,7,0,1,10,10KS0037PHD
120095 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,19,18,1,0,13,0,2,3,0,0,1,19,0,10KL0025BS
120095 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,6,5,1,0,5,0,1,0,0,0,0,6,0,10KL0029BSAG
120095 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0044 ,Agricultural Communications ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KL0044BS
120095 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0047 ,Agricultural Education ,3,0,3,0,2,0,1,0,0,0,0,3,0,10KL0047BS
120095 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",5,2,3,0,4,0,1,0,0,0,0,5,0,10KL5033BS
120095 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,16,0,16,0,9,3,3,0,0,0,1,16,0,10KL0049BS
120095 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,5,0,5,0,3,1,1,0,0,0,0,5,0,10KL0050BS
120095 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,18,4,14,0,10,3,3,0,0,2,0,7,11,10KS0183PHD
120095 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KL0033BS
120095 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,3,1,2,0,3,0,0,0,0,0,0,3,0,10KL0035BS
120095 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,2,1,1,0,1,0,1,0,0,0,0,2,0,10KL0036BS
120095 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,26,18,8,0,18,0,1,0,0,7,0,17,9,10KS0030MS
120095 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KS0030MSU
120095 ,KL ,802 ,MS ,4026 ,Bioinformatics ,5100 ,Crop Science ,1,1,0,0,0,0,0,0,0,1,0,0,1,10KS5100MS
120095 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,20,14,6,0,8,0,1,1,0,10,0,4,16,10KS0030PHD
120095 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,3,2,1,0,2,0,0,1,0,0,0,3,0,10KL0057BS
120095 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3870 ,Forest Science ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KL3870BS
120095 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3871 ,Human Dimensions ,2,0,2,0,1,0,0,0,0,0,1,2,0,10KL3871BS
120095 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3872 ,Resource Ecology ,3,2,1,0,3,0,0,0,0,0,0,3,0,10KL3872BS
120095 ,KL ,875 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,4,1,3,0,3,0,0,0,0,0,1,4,0,10KL0065BS
120095 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,26,11,15,0,20,2,0,0,0,2,2,14,12,10KS0190MS
120095 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,10,5,5,0,5,1,0,0,0,4,0,5,5,10KS0190PHD
120095 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,20,4,16,0,14,2,1,2,0,1,0,8,12,10KS0191MS
120095 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,30,8,22,0,17,4,1,1,0,7,0,10,20,10KS0191PHD
120095 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,***College total*** ,569,236,333,0,361,42,29,25,0,104,8,377,192, 
 ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
120095 ,KM ,  ,  ,  ,Business ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120095 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,16,11,5,0,4,0,1,0,0,10,1,6,10,10KS9875MBA
120095 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,93,65,28,0,57,17,8,1,0,7,3,91,2,10KS4064MBA
120095 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,99,74,25,0,55,21,7,1,1,12,2,83,16,10KM0075BS
120095 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,130,76,54,0,14,9,2,0,0,103,2,9,121,10KS0075MSK
120095 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,5,3,2,0,1,1,0,0,0,3,0,2,3,10KS0075PHD
120095 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,239,140,99,0,129,40,16,14,0,35,5,192,47,10KM0071BS
120095 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,15,5,10,0,2,1,0,1,0,11,0,2,13,10KS0071MAS
120095 ,KM ,346 ,MS ,0071 ,Accountancy ,  ,  ,121,45,76,0,17,1,0,0,0,102,1,11,110,10KS0071MSK
120095 ,KM ,346 ,MS ,0071 ,Accountancy ,0072 ,Accountancy (BS/Master Prg) ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KS0072MS
120095 ,KM ,346 ,MS ,0071 ,Accountancy ,0193 ,Tax ,30,14,16,0,11,7,2,2,0,6,2,10,20,10KS0193MS2
120095 ,KM ,346 ,NDEG ,0071 ,Accountancy ,0073 ,Accountancy Postb ,2,1,1,0,2,0,0,0,0,0,0,2,0,10KM0073NDEG
120095 ,KM ,346 ,PHD ,0071 ,Accountancy ,  ,  ,5,3,2,0,4,0,0,0,0,1,0,3,2,10KS0071PHD
120095 ,KM ,902 ,BS ,0079 ,Business Administration ,0080 ,Marketing ,12,4,8,0,4,2,4,1,0,1,0,11,1,10KM0080BS
120095 ,KM ,902 ,BS ,0079 ,Business Administration ,0081 ,Organizational Administration ,5,1,4,0,2,1,1,1,0,0,0,4,1,10KM0081BS
120095 ,KM ,902 ,BS ,0079 ,Business Administration ,0086 ,Entrepreneurship ,5,4,1,0,3,0,1,0,0,0,1,5,0,10KM0086BS
120095 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,17,8,9,0,8,2,2,3,0,2,0,14,3,10KM1432BS
120095 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,10,4,6,0,4,1,1,3,0,1,0,9,1,10KM8037BS
120095 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,6,5,1,0,4,2,0,0,0,0,0,5,1,10KM5070BS
120095 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,3,2,1,0,2,1,0,0,0,0,0,3,0,10KM5071BS
120095 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,1,0,1,0,0,0,0,0,0,0,1,1,0,10KM5072BS
120095 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,5,5,0,0,4,0,0,0,0,1,0,4,1,10KM5073BS
120095 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,3,0,3,0,3,0,0,0,0,0,0,3,0,10KM8037BS
120095 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,4,1,3,0,1,0,0,2,0,0,1,4,0,10KM5073BS
120095 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KM8037BS
120095 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,10,5,5,0,6,2,0,2,0,0,0,9,1,10KM5073BS
120095 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,2,2,0,0,1,1,0,0,0,0,0,2,0,10KM8037BS
120095 ,KM ,902 ,MS ,5148 ,Technology Management ,  ,  ,49,31,18,0,0,0,0,0,0,49,0,0,49,10KS5148MS
120095 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,7,6,1,0,1,0,0,1,0,5,0,1,6,10KS0079PHD
120095 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,43,32,8,3,33,4,2,2,0,0,2,39,4,10KS3924MBA2
120095 ,KM ,952 ,NDEG ,0067 ,Nondegree ,  ,  ,3,1,2,0,2,1,0,0,0,0,0,3,0,10KM0067NDEG
120095 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,85,49,36,0,47,15,9,10,0,3,1,68,17,10KM0070NONE
120095 ,KM ,  ,  ,  ,Business ,  ,***College total*** ,1027,598,426,3,423,129,56,44,1,352,22,598,429, 
 ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
120095 ,KN ,  ,  ,  ,Education ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120095 ,KN ,335 ,NONE ,4089 ,Pre-Early Chld/Elem Ed/Spec Ed ,  ,  ,9,1,8,0,4,1,2,2,0,0,0,9,0,10KN4089NONE
120095 ,KN ,570 ,BS ,0093 ,Special Education ,  ,  ,7,1,6,0,5,0,0,2,0,0,0,6,1,10KN0093BS
120095 ,KN ,570 ,CAS ,0093 ,Special Education ,  ,  ,1,0,1,0,0,0,0,0,0,1,0,0,1,10KS0093CAS
120095 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,32,6,26,0,26,3,1,0,0,1,1,28,4,10KS0093EDM
120095 ,KN ,570 ,MA ,0093 ,Special Education ,  ,  ,3,0,3,0,2,0,0,0,0,0,1,2,1,10KS0093MA
120095 ,KN ,570 ,MS ,0093 ,Special Education ,  ,  ,7,1,6,0,6,0,1,0,0,0,0,7,0,10KS0093MS
