"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2011,,,,,,,,"PUBLICATION DATE:  FEBRUARY 9, 2011",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120111 , , , , ,***Campus total*** , , ,40239,21662,18551,26,23052,4559,2047,2447,52,48,685,6937,412,2272,252,28536,11703,
120111 , , , , ,Undergraduate , , ,29838,16100,13716,22,18027,3882,1665,2050,39,44,549,3332,250,1834,183,24743,5095,
120111 , , , , ,Graduate , , ,9292,5098,4192,2,4192,601,340,330,9,3,115,3580,122,390,60,3049,6243,
120111 , , , , ,Professional , , ,1109,464,643,2,833,76,42,67,4,1,21,25,40,48,9,744,365,
,,,,,,,,,,,,,,,,,,,,,,,,,
120111 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120111 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,6,4,2,0,5,0,0,0,0,0,0,1,0,0,0,4,2,1PKS5186MS
120111 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,4,2,2,0,3,0,0,1,0,0,0,0,0,0,0,4,0,1PKS5188MS
120111 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,81,42,39,0,47,11,8,4,0,0,1,10,0,8,1,70,11,10KL5003BS
120111 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,66,49,17,0,49,5,0,1,0,0,2,9,0,1,0,55,11,10KL5004BS
120111 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,27,26,1,0,27,0,0,0,0,0,0,0,0,0,0,27,0,10KL5005BS
120111 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,126,88,38,0,109,5,4,2,0,0,1,5,0,4,0,119,7,10KL5006BS
120111 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,67,50,17,0,57,3,0,3,0,0,0,4,0,0,1,60,7,10KL5007BS
120111 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,30,22,8,0,19,2,0,3,0,0,1,5,0,0,1,25,5,10KL5008BS
120111 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",41,25,16,0,25,7,1,4,0,0,0,4,0,1,0,36,5,10KL5010BS
120111 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,40,19,21,0,24,4,2,7,0,0,0,1,2,3,0,38,2,10KL5011BS
120111 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,67,43,24,0,42,1,3,2,0,0,1,18,0,4,0,49,18,10KL5136BS
120111 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,20,12,8,0,9,1,0,0,0,0,0,10,0,0,0,5,15,10KS0176MS
120111 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,11,5,6,0,7,1,0,0,0,0,0,3,0,0,0,4,7,10KS5273MS
120111 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,29,16,13,0,7,0,2,0,0,0,0,20,0,2,0,2,27,10KS0176PHD
120111 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,18,12,6,0,2,2,1,0,0,0,0,13,0,1,0,1,17,10KS5273PHD
120111 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,65,38,27,0,48,0,1,2,0,0,1,12,1,1,1,53,12,10KL0067NDEG
120111 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0005 ,Animal Business Mgt and Ind ,11,4,7,0,10,0,1,0,0,0,0,0,0,1,0,11,0,10KL0005BS
120111 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",61,9,52,0,53,2,2,4,0,0,0,0,0,2,0,58,3,10KL0006BS
120111 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0007 ,Food Animal Science ,17,6,11,0,17,0,0,0,0,0,0,0,0,0,0,17,0,10KL0007BS
120111 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0008 ,"Science, Biotech & Pre-VetMed ",183,32,151,0,151,13,5,11,1,0,1,0,1,6,3,181,2,10KL0008BS
120111 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5267 ,Technology and Management ,6,1,5,0,6,0,0,0,0,0,0,0,0,0,0,6,0,10KL0002BS
