"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2011,,,,,,,,"PUBLICATION DATE:  JUNE 27, 2011",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120115 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0039 ,Food Industry and Business ,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,10KL0039BS
120115 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,21,1,20,0,14,3,1,1,0,0,0,2,0,1,0,18,3,10KL0040BS
120115 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,13,0,13,0,9,1,0,1,0,0,0,1,1,0,0,11,2,10KL0041BS
120115 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,22,5,17,0,16,2,0,3,0,0,0,1,0,0,0,21,1,10KL0042BS
120115 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,10KS0037MS
120115 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,7,3,4,0,4,0,1,0,0,0,0,2,0,1,0,2,5,10KS0037MS
120115 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,3,0,3,0,2,0,1,0,0,0,0,0,0,1,0,2,1,10KS0037MS
120115 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,5166 ,Professional Science Masters ,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1PKS0037MS
120115 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,11,4,7,0,3,0,0,0,0,0,0,8,0,0,0,1,10,10KS0037PHD
120115 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,5,1,4,0,2,1,0,0,0,0,0,2,0,0,0,2,3,10KS0037PHD
120115 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,24,22,2,0,12,3,6,0,0,0,0,3,0,6,0,21,3,10KL0025BS
120115 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,6,4,2,0,4,0,1,0,0,0,1,0,0,1,0,6,0,10KL0029BSAG
120115 ,KL ,741 ,BSAG ,5163 ,Agricultural & Biological Engr ,  ,  ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10KL5163BSAG
120115 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0046 ,Agricultural Leadership ,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,10KL0046BS
120115 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0047 ,Agricultural Education ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,10KL0047BS
120115 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,10KL5033BS
120115 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,17,1,16,0,12,1,4,0,0,0,0,0,0,4,0,17,0,10KL0049BS
120115 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,7,0,7,0,3,0,2,1,0,0,1,0,0,2,0,6,1,10KL0050BS
120115 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,5,1,4,0,4,0,0,0,0,0,1,0,0,0,0,4,1,10KS0181MS
120115 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,9,2,7,0,7,0,1,0,0,0,0,1,0,1,0,3,6,10KS0183PHD
120115 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5126 ,Human Development & Family St ,7,2,5,0,4,1,1,1,0,0,0,0,0,1,0,2,5,10KS0183PHD
120115 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL0033BS
120115 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0034BS
120115 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,3,2,1,0,2,0,0,0,1,0,0,0,0,0,1,3,0,10KL0035BS
120115 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0036BS
120115 ,KL ,802 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,3,2,1,0,2,0,1,0,0,0,0,0,0,1,0,3,0,10KL0063BS
120115 ,KL ,802 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KL0065BS
120115 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,34,27,7,0,22,2,0,0,0,0,0,9,1,0,0,20,14,10KS0030MS
120115 ,KL ,802 ,MS ,0179 ,Plant Pathology ,  ,  ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KS0179MS
120115 ,KL ,802 ,MS ,4026 ,Bioinformatics ,5100 ,Crop Science ,4,3,1,0,1,0,0,0,0,0,0,3,0,0,0,0,4,10KS5100MS
120115 ,KL ,802 ,NONE ,0030 ,Crop Sciences ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0030NONE
120115 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,43,31,12,0,22,1,0,0,0,0,0,20,0,0,0,14,29,10KS0030PHD
120115 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0051BS
120115 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL0057BS
120115 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3872 ,Resource Ecology ,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,10KL3872BS
120115 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3873 ,Soil and Water Science ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10KL3873BS
120115 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5239 ,Humn Dimnsns of the Environmnt ,5,3,2,0,3,2,0,0,0,0,0,0,0,0,0,5,0,10KL0051BS
120115 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5240 ,Resrce Cons & Restoration Ecol ,6,5,1,0,4,0,0,1,0,0,0,1,0,1,0,4,2,10KL0051BS
120115 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,26,11,15,0,19,1,0,1,1,0,0,4,0,0,1,10,16,10KS0190MS
120115 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KS0190MSU
120115 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,9,7,2,0,4,0,0,0,0,0,0,5,0,0,0,3,6,10KS0190PHD
120115 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,23,7,16,0,14,5,2,0,0,0,0,2,0,2,0,10,13,10KS0191MS
120115 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,22,7,15,0,12,3,0,2,0,0,1,4,0,1,0,7,15,10KS0191PHD
120115 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,***College total*** ,624,290,334,0,372,41,26,21,2,0,6,152,4,29,3,368,256, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120115 ,KM ,  ,  ,  ,Business ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120115 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,27,16,11,0,4,1,1,0,0,0,0,20,1,1,0,6,21,10KS9875MBA
120115 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,103,75,28,0,65,13,8,3,0,0,2,8,4,9,1,103,0,10KS4064MBA
120115 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,64,45,19,0,33,11,0,3,0,0,0,17,0,0,0,42,22,10KM0075BS
120115 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,142,75,66,1,13,2,0,0,0,0,1,123,3,1,0,8,134,10KS0075MSK
120115 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,7,3,4,0,0,0,0,0,0,0,0,6,1,0,0,1,6,10KS0075PHD
120115 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,256,134,122,0,105,58,7,10,0,0,1,74,1,7,0,161,95,10KM0071BS
120115 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,16,6,10,0,1,5,0,0,0,0,0,10,0,0,0,6,10,10KS0071MAS
120115 ,KM ,346 ,MAS ,0071 ,Accountancy ,5101 ,Taxation ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0071MAS
120115 ,KM ,346 ,MS ,0071 ,Accountancy ,  ,  ,149,34,115,0,3,6,0,0,0,0,0,140,0,0,0,4,145,10KS0071MSK
120115 ,KM ,346 ,MS ,5187 ,Taxation ,  ,  ,22,6,16,0,12,2,1,2,0,0,0,4,1,1,0,14,8,10KS5187MSK2
120115 ,KM ,346 ,PHD ,0071 ,Accountancy ,  ,  ,19,12,7,0,12,1,0,1,0,0,0,5,0,0,0,3,16,10KS0071PHD
120115 ,KM ,902 ,BS ,0079 ,Business Administration ,0081 ,Organizational Administration ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KM0081BS
120115 ,KM ,902 ,BS ,0079 ,Business Administration ,0086 ,Entrepreneurship ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KM0086BS
120115 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,14,5,9,0,6,0,2,2,0,0,1,3,0,3,0,10,4,10KM1432BS
120115 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,14,5,9,0,9,0,2,3,0,0,0,0,0,2,0,11,3,10KM8037BS
120115 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KM8037BS
120115 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KM5071BS
120115 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KM8037BS
120115 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,7,4,3,0,5,0,1,0,0,0,0,1,0,1,0,5,2,10KM5072BS
120115 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KM8037BS
120115 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,4,2,2,0,3,0,0,0,0,0,0,1,0,0,0,3,1,10KM5073BS
120115 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KM8037BS
120115 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,8,3,5,0,5,2,0,0,0,0,0,1,0,0,0,5,3,10KM5073BS
120115 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,5,2,3,0,4,0,1,0,0,0,0,0,0,1,0,5,0,10KM8037BS
