"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2013,,,,,,,,"PUBLICATION DATE:  FEBRUARY 15, 2013",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120131 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",354,60,294,0,263,24,16,36,0,0,10,3,2,19,6,336,18,10KL0002BS
120131 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,31,16,15,0,24,2,0,2,0,0,0,3,0,0,0,20,11,10KS0002MS
120131 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,51,36,15,0,20,1,0,1,0,0,0,29,0,0,0,12,39,10KS0002PHD
120131 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,120,39,81,0,53,25,5,10,0,0,3,24,0,7,3,91,29,10KL0038BS
120131 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0039 ,Food Industry and Business ,13,5,8,0,11,0,0,1,0,0,0,1,0,0,0,12,1,10KL0039BS
120131 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,114,16,98,0,65,22,9,9,0,0,0,9,0,10,0,99,15,10KL0040BS
120131 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,93,6,87,0,66,9,1,7,0,0,3,7,0,2,1,82,11,10KL0041BS
120131 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,73,28,45,0,48,5,1,6,0,0,5,8,0,4,2,64,9,10KL0042BS
120131 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,10KS0037MS
120131 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,29,8,21,0,10,2,0,0,0,0,0,17,0,0,0,5,24,10KS0037MS
120131 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,8,0,8,0,2,0,0,0,0,0,0,6,0,0,0,2,6,10KS0037MS
120131 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,5166 ,Professional Science Masters ,7,3,4,0,1,2,0,0,0,0,0,4,0,0,0,2,5,1PKS0037MS
120131 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,12,5,7,0,5,1,1,0,0,0,0,5,0,1,0,3,9,10KS0037PHD
120131 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,20,8,12,0,7,1,0,0,0,0,0,12,0,0,0,5,15,10KS0037PHD
120131 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,9,1,8,0,0,2,0,0,0,0,0,7,0,0,0,1,8,10KS0037PHD
120131 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,220,198,22,0,140,23,10,20,1,2,6,16,2,11,2,194,26,10KL0025BS
120131 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0029BSAG
120131 ,KL ,741 ,BSAG ,5163 ,Agricultural & Biological Engr ,  ,  ,68,51,17,0,33,11,7,7,0,0,3,6,1,7,0,47,21,10KL5163BSAG
120131 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,  ,  ,7,7,0,0,4,0,0,1,0,0,0,2,0,0,0,3,4,10KS0025MS
120131 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,5166 ,Professional Science Masters ,3,3,0,0,1,1,1,0,0,0,0,0,0,1,0,3,0,1PKS0025MS
120131 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",17,4,13,0,15,1,1,0,0,0,0,0,0,1,0,17,0,10KL5033BS
120131 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,160,10,150,0,101,8,29,13,0,0,5,3,1,32,2,148,12,10KL0049BS
120131 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,66,6,60,0,45,5,5,10,0,0,1,0,0,6,0,65,1,10KL0050BS
120131 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,4,1,3,0,4,0,0,0,0,0,0,0,0,0,0,4,0,10KS0181MS
120131 ,KL ,793 ,MS ,0183 ,Human & Community Development ,  ,  ,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KS0183MS
120131 ,KL ,793 ,NONE ,0048 ,Human Development & Family St ,  ,  ,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,10KL0048NONE
120131 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,17,3,14,0,12,1,2,1,0,0,1,0,0,2,0,7,10,10KS0183PHD
120131 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5126 ,Human Development & Family St ,10,3,7,0,6,2,0,2,0,0,0,0,0,0,0,3,7,10KS0183PHD
120131 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,10KL0031BS
120131 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,30,25,5,0,28,0,1,0,1,0,0,0,0,1,1,29,1,10KL0033BS
120131 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,42,37,5,0,40,1,0,0,0,0,0,1,0,0,0,40,2,10KL0034BS
120131 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,36,24,12,0,28,0,2,0,0,0,1,5,0,3,0,31,5,10KL0035BS
120131 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KL8037BS
120131 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,6,4,2,0,3,2,1,0,0,0,0,0,0,1,0,4,2,10KL0036BS
120131 ,KL ,802 ,BS ,0030 ,Crop Sciences ,5123 ,Integrated Pest Management ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL5123BS
120131 ,KL ,802 ,BS ,0063 ,Horticulture ,0064 ,Horticulture Science ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0063BS
120131 ,KL ,802 ,BS ,0063 ,Horticulture ,0064 ,Horticulture Science ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0064BS
120131 ,KL ,802 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0063BS
120131 ,KL ,802 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL0065BS
120131 ,KL ,802 ,BS ,0063 ,Horticulture ,5300 ,Sustainable Landscapes ,5,1,4,0,5,0,0,0,0,0,0,0,0,0,0,5,0,10KL0063BS
120131 ,KL ,802 ,BS ,0063 ,Horticulture ,5301 ,Specialty Crops ,16,10,6,0,11,2,0,2,0,0,0,0,1,0,0,15,1,10KL0063BS
120131 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,47,28,19,0,31,0,1,2,0,0,1,12,0,1,0,26,21,10KS0030MS
120131 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0030MSU
120131 ,KL ,802 ,MS ,4026 ,Bioinformatics ,5100 ,Crop Science ,4,1,3,0,1,1,0,0,0,0,0,2,0,0,0,1,3,10KS5100MS
120131 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,60,44,16,0,32,2,0,1,0,0,0,25,0,0,0,22,38,10KS0030PHD
120131 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10KL0051BS
120131 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,41,23,18,0,35,2,0,1,0,0,2,1,0,0,0,40,1,10KL0051BS
120131 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,19,14,5,0,15,1,0,2,0,0,0,1,0,0,0,16,3,10KL0057BS
120131 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3872 ,Resource Ecology ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL3872BS
120131 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3873 ,Soil and Water Science ,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KL3873BS
120131 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5239 ,Humn Dimnsns of the Environmnt ,73,32,41,0,50,5,3,7,0,0,1,7,0,4,1,64,9,10KL0051BS
120131 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5240 ,Resrce Cons & Restoration Ecol ,70,41,29,0,48,2,0,2,0,0,4,14,0,0,2,53,17,10KL0051BS
