"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2014,,,,,,,,"PUBLICATION DATE:  FEBRUARY 20, 2014",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120141 , , , , ,***Campus total*** , , ,41505,22886,18609,10,20854,5367,2059,3014,31,53,922,8850,355,2433,320,27211,14294,
120141 , , , , ,Undergraduate , , ,30912,17267,13639,6,16319,4654,1662,2540,15,46,777,4734,165,1957,232,23655,7257,
120141 , , , , ,Graduate , , ,9577,5239,4335,3,3873,647,346,400,15,6,130,4076,84,417,77,2853,6724,
120141 , , , , ,Professional , , ,1016,380,635,1,662,66,51,74,1,1,15,40,106,59,11,703,313,
,,,,,,,,,,,,,,,,,,,,,,,,,
120141 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120141 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,8,6,2,0,2,0,0,1,0,0,0,5,0,0,0,2,6,1PKS5186MS
120141 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,3,1,2,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1PKS5188MS
120141 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,25,9,16,0,24,0,0,1,0,0,0,0,0,0,0,25,0,10KL5319BS
120141 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,32,17,15,0,24,0,7,0,0,0,0,1,0,7,0,28,4,10KL5320BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,81,48,33,0,49,13,5,3,0,0,1,10,0,6,0,66,15,10KL5003BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KL5004BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,25,22,3,0,25,0,0,0,0,0,0,0,0,0,0,25,0,10KL5005BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,155,112,43,0,129,10,1,3,0,0,2,8,2,1,1,138,17,10KL5006BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,118,88,30,0,83,11,3,4,0,0,2,15,0,3,2,97,21,10KL5007BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,32,21,11,0,25,1,0,1,0,0,0,5,0,0,0,26,6,10KL5008BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",53,31,22,0,28,5,1,7,0,0,2,9,1,2,1,40,13,10KL5010BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,58,24,34,0,31,5,10,9,0,0,0,3,0,10,0,50,8,10KL5011BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,89,60,29,0,57,10,1,6,0,0,1,14,0,1,1,71,18,10KL5136BS
120141 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,76,53,23,0,59,4,2,2,0,0,3,5,1,2,0,68,8,10KL5316BS
120141 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KS0176MS
120141 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,24,13,11,0,12,0,0,2,0,0,0,10,0,1,1,11,13,10KS5273MS
120141 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10KS0176PHD
120141 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,33,18,15,0,3,1,0,0,0,0,0,29,0,0,0,0,33,10KS5273PHD
120141 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,107,56,51,0,71,1,0,2,0,0,0,32,1,0,1,73,34,10KL0067NDEG
120141 ,KL ,538 ,BS ,0002 ,Animal Sciences ,  ,  ,5,2,3,0,3,1,0,1,0,0,0,0,0,0,0,4,1,10KL0002BS
