"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2012,,,,,,,,"PUBLICATION DATE:  SEPTEMBER 13, 2012",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120125 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,32,16,16,0,26,1,0,0,0,0,0,5,0,0,0,21,11,10KS0002MS
120125 ,KL ,538 ,MS ,4026 ,Bioinformatics ,5099 ,Animal Science ,5,5,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5,10KS5099MS
120125 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,44,27,17,0,18,0,1,2,0,0,0,23,0,1,0,12,32,10KS0002PHD
120125 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,17,6,11,0,9,4,0,2,0,0,0,2,0,0,0,13,4,10KL0038BS
120125 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0039 ,Food Industry and Business ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL0039BS
120125 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,24,3,21,0,13,8,1,1,0,0,0,1,0,1,0,21,3,10KL0040BS
120125 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,15,0,15,0,8,1,1,1,0,0,0,4,0,1,0,10,5,10KL0041BS
120125 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,17,6,11,0,10,1,0,4,0,0,1,1,0,0,0,15,2,10KL0042BS
120125 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,3,1,2,0,0,1,0,0,0,0,0,2,0,0,0,1,2,10KS0037MS
120125 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1PKS0037MS
120125 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,12,4,8,0,7,2,1,0,0,0,0,2,0,1,0,6,6,10KS0037MS
120125 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,4,0,4,0,3,0,0,0,0,0,0,1,0,0,0,3,1,10KS0037MS
120125 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,5166 ,Professional Science Masters ,5,0,5,0,1,0,0,0,0,0,0,4,0,0,0,1,4,1PKS0037MS
120125 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,5,2,3,0,2,0,0,0,0,0,0,3,0,0,0,0,5,10KS0037PHD
120125 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,9,4,5,0,4,1,0,0,0,0,0,4,0,0,0,2,7,10KS0037PHD
120125 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,4,1,3,0,0,1,0,0,0,0,0,3,0,0,0,0,4,10KS0037PHD
120125 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,45,39,6,0,24,6,3,2,0,1,2,6,1,4,1,35,10,10KL0025BS
120125 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,10KL0029BSAG
120125 ,KL ,741 ,BSAG ,5163 ,Agricultural & Biological Engr ,  ,  ,9,7,2,0,5,2,0,0,0,0,0,2,0,0,0,6,3,10KL5163BSAG
120125 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,  ,  ,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,10KS0025MS
120125 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,5166 ,Professional Science Masters ,4,3,1,0,1,0,1,0,0,0,0,2,0,1,0,2,2,1PKS0025MS
120125 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0046 ,Agricultural Leadership ,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,10KL0046BS
120125 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",7,1,6,0,6,0,0,0,0,0,1,0,0,1,1,7,0,10KL5033BS
120125 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,26,3,23,0,10,2,10,4,0,0,0,0,0,10,0,26,0,10KL0049BS
120125 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,7,0,7,0,4,0,1,2,0,0,0,0,0,2,0,7,0,10KL0050BS
120125 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,4,0,4,0,3,0,0,0,0,0,1,0,0,0,0,3,1,10KS0181MS
120125 ,KL ,793 ,MS ,0183 ,Human & Community Development ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0183MS
120125 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,11,2,9,0,8,0,1,1,0,0,0,1,0,1,0,6,5,10KS0183PHD
120125 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5126 ,Human Development & Family St ,5,2,3,0,3,1,0,1,0,0,0,0,0,0,0,1,4,10KS0183PHD
120125 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0031BS
120125 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL0033BS
120125 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL0034BS
120125 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,4,2,2,0,2,0,0,0,0,0,1,1,0,1,0,3,1,10KL0035BS
120125 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,10KL0036BS
120125 ,KL ,802 ,BS ,0063 ,Horticulture ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0063BSX
120125 ,KL ,802 ,BS ,0063 ,Horticulture ,0064 ,Horticulture Science ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0063BS
120125 ,KL ,802 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0063BS
120125 ,KL ,802 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0065BS
120125 ,KL ,802 ,BS ,0063 ,Horticulture ,5300 ,Sustainable Landscapes ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0063BS
120125 ,KL ,802 ,BS ,0063 ,Horticulture ,5301 ,Specialty Crops ,4,2,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0,10KL0063BS
120125 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,30,18,12,0,23,0,0,0,0,0,0,7,0,0,0,17,13,10KS0030MS
120125 ,KL ,802 ,MS ,4026 ,Bioinformatics ,5100 ,Crop Science ,4,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,4,10KS5100MS
120125 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,42,31,11,0,23,2,0,1,0,0,0,16,0,0,0,15,27,10KS0030PHD
120125 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,6,2,4,0,4,1,0,0,0,0,1,0,0,0,0,6,0,10KL0051BS
120125 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,10KL0057BS
120125 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3871 ,Human Dimensions ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL3871BS
120125 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5239 ,Humn Dimnsns of the Environmnt ,10,6,4,0,7,1,0,1,0,0,0,1,0,0,0,9,1,10KL0051BS
120125 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5240 ,Resrce Cons & Restoration Ecol ,8,5,3,0,4,0,0,0,0,0,0,4,0,0,0,4,4,10KL0051BS
120125 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5241 ,Globl Chg & Landscape Dynamics ,3,2,1,0,1,1,1,0,0,0,0,0,0,1,0,3,0,10KL0051BS
120125 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,27,17,10,0,24,0,0,0,0,0,0,3,0,0,0,9,18,10KS0190MS
120125 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,12,6,6,0,6,0,0,0,0,0,0,6,0,0,0,3,9,10KS0190PHD
120125 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,13,6,7,0,7,3,1,0,0,0,0,2,0,1,0,6,7,10KS0191MS
120125 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,18,5,13,0,11,3,0,1,0,0,0,3,0,0,0,6,12,10KS0191PHD
120125 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,***College total*** ,728,354,374,0,424,60,37,34,0,1,13,155,4,44,6,459,269, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120125 ,KM ,  ,  ,  ,Business ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120125 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,30,22,8,0,3,1,0,0,0,0,0,26,0,0,0,4,26,10KS9875MBA
120125 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,116,84,32,0,73,13,12,4,0,0,2,8,4,13,1,115,1,10KS4064MBA
120125 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,77,48,29,0,37,11,0,2,0,0,2,25,0,1,1,45,32,10KM0075BS
120125 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,126,65,61,0,7,4,0,0,0,0,0,113,2,0,0,4,122,10KS0075MSK
120125 ,KM ,260 ,NDEG ,0075 ,Finance ,  ,  ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KS0075NDEG
120125 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,7,3,4,0,0,1,0,0,0,0,0,6,0,0,0,0,7,10KS0075PHD
120125 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,296,141,155,0,123,59,11,18,1,0,1,82,1,11,1,198,98,10KM0071BS
120125 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,18,9,9,0,5,1,0,0,0,0,0,12,0,0,0,5,13,10KS0071MAS
120125 ,KM ,346 ,MAS ,0071 ,Accountancy ,5101 ,Taxation ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KS0071MAS
120125 ,KM ,346 ,MS ,0071 ,Accountancy ,  ,  ,134,21,113,0,4,2,0,0,0,0,1,126,1,0,0,3,131,10KS0071MSK
120125 ,KM ,346 ,MS ,5187 ,Taxation ,  ,  ,31,9,22,0,14,7,1,4,0,0,3,1,1,2,0,27,4,10KS5187MSK2
120125 ,KM ,346 ,PHD ,0071 ,Accountancy ,  ,  ,13,10,3,0,8,0,0,0,0,0,0,4,1,0,0,1,12,10KS0071PHD
120125 ,KM ,902 ,BS ,0079 ,Business Administration ,0081 ,Organizational Administration ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KM0081BS
120125 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,21,7,14,0,7,3,3,1,0,0,0,6,1,3,0,13,8,10KM1432BS
120125 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,13,6,7,0,9,1,1,2,0,0,0,0,0,1,0,12,1,10KM8037BS
120125 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,10KM5070BS
120125 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,10KM8037BS
120125 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KM5071BS
120125 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,4,1,3,0,3,1,0,0,0,0,0,0,0,0,0,4,0,10KM8037BS
120125 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,5,2,3,0,4,0,0,0,0,0,0,1,0,0,0,4,1,10KM5072BS
120125 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,3,1,2,0,1,1,1,0,0,0,0,0,0,1,0,3,0,10KM8037BS
120125 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,4,2,2,0,2,0,1,1,0,0,0,0,0,1,0,3,1,10KM5073BS
120125 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,10KM8037BS
120125 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,7,6,1,0,4,1,0,2,0,0,0,0,0,0,0,6,1,10KM5073BS
120125 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,7,0,7,0,3,1,1,1,0,0,1,0,0,1,0,7,0,10KM8037BS
120125 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,10,4,6,0,9,0,1,0,0,0,0,0,0,1,0,10,0,10KM5073BS
120125 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,3,1,2,0,2,0,1,0,0,0,0,0,0,1,0,2,1,10KM8037BS
120125 ,KM ,902 ,MS ,5148 ,Technology Management ,  ,  ,86,66,20,0,8,9,2,0,0,0,0,67,0,2,0,15,71,10KS5148MSK
120125 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,4,0,4,0,0,0,1,0,0,0,0,3,0,1,0,0,4,10KS0079PHD
120125 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,31,20,11,0,17,4,5,2,1,0,1,0,1,5,2,29,2,10KS3924MBA2
120125 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,60,33,27,0,32,12,5,6,0,0,1,3,1,5,1,44,16,10KM0070NONE
120125 ,KM ,  ,  ,  ,Business ,  ,***College total*** ,1119,571,548,0,384,133,46,43,2,0,12,486,13,49,6,563,556, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120125 ,KN ,  ,  ,  ,Education ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120125 ,KN ,335 ,NDEG ,0067 ,Nondegree ,  ,  ,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KN0067NDEG
120125 ,KN ,335 ,NONE ,4089 ,Pre-Early Chld/Elem Ed/Spec Ed ,  ,  ,9,1,8,0,6,2,1,0,0,0,0,0,0,1,0,8,1,10KN4089NONE
120125 ,KN ,570 ,BS ,0093 ,Special Education ,  ,  ,7,1,6,0,7,0,0,0,0,0,0,0,0,0,0,7,0,10KN0093BS
120125 ,KN ,570 ,CAS ,0093 ,Special Education ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0093CAS
120125 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,32,4,28,0,24,1,3,2,0,0,0,1,1,3,0,26,6,10KS0093EDM
120125 ,KN ,570 ,MS ,0093 ,Special Education ,  ,  ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,10KS0093MS
120125 ,KN ,570 ,NDEG ,0093 ,Special Education ,  ,  ,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KS0093NDEG
120125 ,KN ,570 ,PHD ,0093 ,Special Education ,  ,  ,15,1,14,0,11,0,2,2,0,0,0,0,0,2,0,8,7,10KS0093PHD
120125 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3957 ,ECh: Anthropology ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3957BS
120125 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3967 ,ECh: History ,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,2,0,10KN3967BS
120125 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3968 ,ECh: Language arts ,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KN3968BS
120125 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,4014 ,ECh: Spanish ,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,10KN4014BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN0095BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,3939 ,EIEd: Biology ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3939BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,3942 ,EIEd: Earth Science ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3942BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,3946 ,EIEd: History ,3,1,2,0,1,0,0,2,0,0,0,0,0,0,0,3,0,10KN3946BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,3947 ,EIEd: Language Arts ,15,0,15,0,13,1,0,1,0,0,0,0,0,0,0,15,0,10KN3947BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,3949 ,EIEd: Mathematics ,18,0,18,0,13,2,1,1,0,0,1,0,0,2,0,17,1,10KN3949BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,3954 ,ElEd: Psychology ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3954BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,3996 ,EIEd: French ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3996BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,4004 ,EIEd: Spanish ,7,0,7,0,5,0,1,1,0,0,0,0,0,1,0,7,0,10KN4004BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,5193 ,General Sciences ,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KN5193BS
120125 ,KN ,613 ,BS ,0095 ,Elementary Education ,5194 ,ESL/Bilingual Education ,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,10KN5194BS
120125 ,KN ,613 ,CAS ,0095 ,Elementary Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0095CAS
120125 ,KN ,613 ,EDM ,0095 ,Elementary Education ,  ,  ,6,0,6,0,2,3,0,1,0,0,0,0,0,1,0,6,0,10KS0095EDM
120125 ,KN ,613 ,EDM ,0095 ,Elementary Education ,0211 ,Elementary Ed - Cert ,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KS0211EDM
120125 ,KN ,613 ,EDM ,1144 ,Curriculum and Instruction ,  ,  ,18,2,16,0,11,5,1,0,0,0,0,1,0,1,0,16,2,10KS1144EDM
120125 ,KN ,613 ,EDM ,8527 ,Secondary Education ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS8527EDM
120125 ,KN ,613 ,EDM ,8527 ,Secondary Education ,5224 ,English ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KS8527EDM
