"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2015,,,,,,,,"PUBLICATION DATE:  FEBRUARY 13, 2015",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,,,,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,All students including multiracial and Hispanic,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
120151 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,27,14,13,0,16,1,0,0,0,0,0,9,1,0,0,0,1,13,14,10KS5273MS
120151 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KS0176PHD
120151 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,37,21,16,0,2,0,0,1,0,0,0,34,0,0,0,0,0,0,37,10KS5273PHD
120151 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,79,44,35,0,60,1,0,1,0,0,0,17,0,0,1,0,1,62,17,10KL0067NDEG
120151 ,KL ,538 ,BS ,0002 ,Animal Sciences ,  ,  ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10KL0002BS
120151 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5267 ,Technology and Management ,44,11,33,0,35,1,3,2,0,0,2,1,0,5,0,0,2,43,1,10KL0002BS
120151 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,73,9,64,0,51,4,4,7,0,0,4,3,0,5,1,0,7,69,4,10KL0002BS
120151 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",395,66,329,0,256,34,19,65,0,0,14,5,2,25,4,2,45,358,37,10KL0002BS
120151 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,55,19,36,0,40,1,1,5,0,0,1,7,0,2,0,0,2,28,27,10KS0002MS
120151 ,KL ,538 ,MS ,4026 ,Bioinformatics ,5099 ,Animal Science ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10KS5099MS
120151 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,45,24,21,0,21,2,0,3,0,0,0,19,0,0,0,0,2,10,35,10KS0002PHD
120151 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,141,45,96,0,72,20,16,9,0,0,1,23,0,18,1,0,20,110,31,10KL0038BS
120151 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0039 ,Food Industry and Business ,3,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,10KL0039BS
120151 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,98,16,82,0,52,22,6,9,0,0,3,6,0,8,2,1,24,88,10,10KL0040BS
120151 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,85,4,81,0,53,10,4,6,0,0,3,8,1,4,0,1,13,75,10,10KL0041BS
120151 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,67,20,47,0,45,4,3,7,0,0,2,6,0,5,0,0,5,58,9,10KL0042BS
120151 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,23,5,18,0,6,1,1,0,0,0,0,14,1,1,0,0,1,3,20,10KS0037MS
120151 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,7,3,4,0,1,1,0,0,0,0,0,5,0,0,0,0,1,1,6,10KS0037MS
120151 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,5166 ,Professional Science Masters ,13,3,10,0,4,1,0,0,0,0,0,8,0,0,0,0,1,5,8,1PKS0037MS
120151 ,KL ,698 ,NDEG ,0037 ,Food Science & Human Nutrition ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS0037NDEG
120151 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,6,2,4,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,5,10KS0037PHD
120151 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,33,13,20,0,10,3,1,0,0,0,0,19,0,1,0,0,3,9,24,10KS0037PHD
120151 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,11,5,6,0,5,2,0,0,0,0,0,4,0,0,0,0,2,3,8,10KS0037PHD
120151 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,201,185,16,0,125,23,17,21,0,0,7,8,0,18,3,3,27,179,22,10KL0025BS
120151 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,10KL0029BSAG
120151 ,KL ,741 ,BSAG ,5163 ,Agricultural & Biological Engr ,  ,  ,68,46,22,0,39,10,6,5,0,0,2,6,0,6,0,0,12,47,21,10KL5163BSAG
120151 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,  ,  ,4,4,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,3,1,10KS0025MS
120151 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,  ,  ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1PKS0025MS
120151 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,5166 ,Professional Science Masters ,6,3,3,0,0,1,2,0,0,0,0,3,0,2,0,0,1,3,3,1PKS0025MS
120151 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",3,0,3,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,10KL5033BS
120151 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,141,10,131,0,81,10,18,25,0,0,5,2,0,25,3,0,10,130,11,10KL0049BS
120151 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,38,2,36,0,20,4,6,8,0,0,0,0,0,6,2,0,4,38,0,10KL0050BS
120151 ,KL ,793 ,NONE ,0048 ,Human Development & Family St ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL0048NONE
120151 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,3,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,10KS0183PHD
120151 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5125 ,Community Studies and Outreach ,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,10KS0183PHD
120151 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5126 ,Human Development & Family St ,22,5,17,0,13,1,1,4,0,0,0,3,0,2,0,0,1,7,15,10KS0183PHD
